Nome,Endereço,Cargo,Salario,Departamento
Edson Cavalcante Junior,"Av. das Américas, 2674",Estagiário,"R$ 1.414,00",Operações
Maria Souza,"Rua do Sol, 1179",Gerente de Projetos,"R$ 13.338,00",Marketing
Joana Mália,"Av. Independência, 6226",Coordenador,"R$ 11.304,00",Marketing
Ana Clécia,"Av. das Américas, 926",Diretor Executivo,"R$ 23.168,00",TI
Maria das Graças Junior,"Rua das Acácias, 4396",Assistente Administrativo,"R$ 3.161,00",Marketing
Maicon Paulino,"Av. das Américas, 3493",Desenvolvedor,"R$ 8.123,00",Logística
Jean Cavalcante,"Av. Independência, 2350",Coordenador,"R$ 9.510,00",Financeiro
Maitê Mianutti,"Rua XV de Novembro, 8840",Coordenador,"R$ 10.890,00",Logística
Bianca Machado Junior,"Rua das Acácias, 5940",Diretor Executivo,"R$ 26.348,00",Financeiro
Henrique Lima,"Av. Independência, 1499",Analista de Dados,"R$ 5.126,00",RH
Amanda Teixeira,"Rua da Paz, 6926",Assistente Administrativo,"R$ 2.781,00",Logística
Gisele Amorin,"Rua Direita, 7678",Especialista,"R$ 10.766,00",Vendas
Mayara Rondon Junior,"Rua das Flores, 1886",Especialista,"R$ 11.648,00",Vendas
Natália Bernardes,"Av. das Américas, 1837",Coordenador,"R$ 9.147,00",Logística
Letícia Barros,"Av. Independência, 63",Coordenador,"R$ 10.579,00",Financeiro
Fernanda Emboaba Junior,"Av. Paulista, 4899",Especialista,"R$ 9.126,00",Marketing
Joyce Gazizi,"Av. das Américas, 2656",Especialista,"R$ 10.953,00",TI
Helton Oliveira,"Av. das Américas, 8015",Analista de Dados,"R$ 8.305,00",RH
Marcio Alencar,"Av. das Américas, 5048",Diretor Executivo,"R$ 21.946,00",TI
Marcus Machado,"Rua Direita, 1300",Assistente Administrativo,"R$ 2.141,00",Atendimento
Gilmar Neves Junior,"Rua XV de Novembro, 2070",Gerente de Projetos,"R$ 16.503,00",Atendimento
Fabiana Costa,"Rua da Paz, 4352",Especialista,"R$ 9.367,00",Logística
Fátima Silva,"Rua XV de Novembro, 3305",Coordenador,"R$ 11.251,00",Logística
Rodrigo Jorge,"Av. das Américas, 7187",Especialista,"R$ 8.995,00",Atendimento
Fabiana Clécia,"Av. Brasil, 3691",Assistente Administrativo,"R$ 2.043,00",Operações
Carlos Lima Junior,"Rua Direita, 9085",Diretor Executivo,"R$ 18.117,00",Marketing
Bianca das Graças,"Av. Paulista, 974",Diretor Executivo,"R$ 18.514,00",RH
Fátima Gomes,"Av. das Américas, 1170",Especialista,"R$ 9.640,00",Marketing
Joana Neves,"Av. Independência, 3520",Especialista,"R$ 11.462,00",Financeiro
Maria Cavalcante,"Rua Direita, 9450",Desenvolvedor,"R$ 7.713,00",Marketing
Maitê Machado,"Av. Independência, 6679",Diretor Executivo,"R$ 19.588,00",RH
Gilmar Cavalcante,"Rua das Acácias, 5814",Consultor Financeiro,"R$ 6.412,00",Logística
Maitê Pereira,"Rua das Flores, 1622",Analista de Dados,"R$ 7.482,00",Logística
Letícia Machado,"Av. das Américas, 1800",Diretor Executivo,"R$ 21.116,00",Marketing
Marcus Lima,"Rua XV de Novembro, 7360",Gerente de Projetos,"R$ 13.503,00",Logística
Paulo Araújo Junior,"Rua do Sol, 7589",Diretor Executivo,"R$ 25.260,00",RH
Rodrigo Barros,"Rua XV de Novembro, 1614",Analista de Dados,"R$ 8.469,00",TI
Henrique das Graças Junior,"Av. Paulista, 3882",Gerente de Projetos,"R$ 15.978,00",Logística
Paulo Amorin,"Av. Independência, 3512",Consultor Financeiro,"R$ 5.174,00",TI
Joana Bernardes,"Rua das Acácias, 45",Consultor Financeiro,"R$ 8.295,00",Vendas
Mayara Rondon,"Av. Independência, 4683",Consultor Financeiro,"R$ 5.134,00",Atendimento
Henrique Araújo,"Av. Brasil, 4871",Diretor Executivo,"R$ 27.489,00",TI
Carlos Emboaba,"Rua XV de Novembro, 1008",Estagiário,"R$ 1.251,00",TI
Ana Bernardes,"Rua Direita, 7821",Especialista,"R$ 8.732,00",Financeiro
Marcio Teixeira,"Rua XV de Novembro, 1322",Gerente de Projetos,"R$ 16.874,00",RH
Bruno Rondon,"Av. Paulista, 3863",Consultor Financeiro,"R$ 8.356,00",RH
Maria Jorge Junior,"Rua Direita, 4043",Analista de Dados,"R$ 6.217,00",RH
Paulo Teixeira,"Rua Direita, 9270",Especialista,"R$ 9.568,00",Operações
Camila Machado,"Av. Brasil, 5157",Diretor Executivo,"R$ 24.484,00",Vendas
Natália Lima,"Rua da Paz, 4925",Desenvolvedor,"R$ 8.305,00",Operações
adriano lima de souza,rua bento gonçalves,Assistente Administrativo,"R$ 4.566,00",Vendas
jorge pereira da silva,av louveira de minas,Diretor Executivo,"R$ 25.600,00",Marketing
